age,study_hours,attendance,previous_score,assignment_score,midterm_score,sleep_hours,extracurricular,final_score
18,4,85,72,80,75,7,1,78
19,6,92,85,88,90,7,1,91
18,2,65,55,60,58,6,0,59
20,5,88,78,82,80,8,1,82
19,3,70,62,68,65,6,0,66
18,7,95,90,94,92,8,1,94
21,2,60,50,55,52,5,0,54
20,5,90,80,85,83,7,1,85
19,4,78,70,75,72,7,0,74
18,8,97,92,96,95,8,1,96
21,3,68,58,62,60,6,0,62
20,6,91,84,89,87,7,1,89
19,4,82,75,78,76,7,1,78
18,2,58,48,52,50,6,0,51
22,5,86,79,84,81,8,1,83
20,7,94,88,92,90,7,1,92
19,3,72,65,70,67,6,0,68
18,6,89,82,86,84,8,1,86
21,4,76,68,73,70,7,0,71
20,8,98,94,97,96,8,1,97
18,8,85,57,86,67,6,0,72.3
24,5,79,73,88,75,7,1,78.3
23,6,82,69,93,72,8,1,82.4
21,5,87,68,86,69,8,1,75.4
21,5,68,68,89,57,8,1,76.0
24,3,89,72,84,97,9,1,82.2
18,6,62,83,76,50,6,0,72.6
23,3,82,91,73,75,5,1,74.7
19,6,80,70,68,63,5,1,72.5
18,7,71,82,53,98,6,1,77.0
22,6,78,59,57,53,4,0,58.6
25,4,71,81,67,56,6,0,71.6
23,6,65,59,76,52,6,1,69.0
24,4,74,86,95,73,8,0,73.8
23,7,65,99,71,45,7,1,76.1
24,1,82,68,88,60,6,0,53.4
22,4,64,40,89,31,7,1,54.4
19,1,87,62,68,72,8,1,70.4
24,2,64,88,82,59,5,0,64.7
21,8,71,78,68,43,6,0,70.4
22,7,71,74,93,86,4,1,67.1
20,4,94,85,82,46,5,0,68.1
19,2,82,77,53,82,5,0,66.9
25,1,75,88,75,56,7,1,68.8
24,4,84,84,98,95,5,0,86.2
23,10,53,93,69,81,6,1,83.2
21,6,77,75,79,51,5,0,68.5
24,4,100,84,81,52,7,0,67.7
22,6,80,65,55,78,7,1,71.7
21,2,79,61,80,64,7,0,58.7
21,4,85,96,50,65,7,0,63.1
19,5,89,73,62,90,4,1,70.0
18,5,54,82,89,55,6,1,77.5
22,7,58,72,78,70,6,1,72.9
25,6,81,61,67,84,6,1,75.4
18,6,69,70,79,82,7,0,73.5
24,4,94,92,71,65,8,0,68.6
24,7,74,78,72,63,8,1,81.4
20,8,55,44,83,38,5,1,52.4
23,3,63,67,60,50,7,1,57.4
19,3,50,97,73,73,7,0,70.2
24,8,75,67,67,66,5,0,73.0
23,5,76,43,47,69,8,0,58.2
20,8,73,98,57,86,6,1,75.3
18,4,91,80,97,48,5,1,69.4
25,8,92,69,78,64,7,0,75.1
21,5,76,64,51,71,7,0,62.8
25,6,52,86,47,56,6,0,68.7
23,8,85,62,70,92,6,0,74.2
24,4,85,87,97,83,5,1,82.7
24,3,82,78,69,73,7,1,72.6
19,4,90,74,93,99,6,0,85.8
20,6,64,72,78,43,7,1,67.6
21,2,100,67,80,68,7,1,74.8
21,6,66,86,51,74,5,0,69.3
18,4,87,57,87,52,5,0,66.8
22,7,58,46,67,73,4,0,56.8
19,1,67,79,86,49,7,0,50.6
23,3,96,79,59,80,5,1,73.6
23,2,75,77,75,86,7,1,74.7
25,3,88,76,78,73,7,0,74.6
23,5,81,65,70,37,7,0,60.8
20,5,77,82,78,52,5,1,77.3
25,4,94,69,68,78,6,0,69.8
21,5,75,63,62,68,9,1,72.6
20,5,57,65,98,22,9,1,67.5
25,3,68,99,89,89,8,1,90.2
20,6,85,44,60,70,7,1,66.5
18,6,83,77,81,54,5,1,70.2
21,6,59,45,60,85,8,1,61.8
24,6,69,68,53,56,6,0,71.0
19,6,71,63,89,56,7,0,72.5
21,9,74,40,45,74,6,0,68.5
19,5,61,76,87,98,6,0,92.1
23,4,70,64,68,96,7,0,73.6
21,3,69,40,69,74,7,0,54.4
20,3,87,83,79,76,7,0,73.8
19,3,88,92,81,81,6,0,72.9
22,3,76,92,59,47,5,0,61.2
23,5,73,75,83,79,9,1,77.5
25,6,80,71,74,56,9,1,71.9
21,5,68,90,52,73,7,1,66.7
19,3,64,95,69,64,5,1,76.1
24,7,67,87,94,77,5,1,83.5
23,6,70,56,99,70,7,1,74.3
23,5,64,73,83,20,8,0,65.4
18,4,80,77,53,71,5,1,69.9
20,6,87,43,80,79,6,0,72.3
24,5,59,77,86,76,7,1,78.6
24,2,78,99,84,66,8,1,76.8
21,5,75,80,85,96,6,0,83.3
24,6,82,92,78,73,4,1,82.3
24,3,78,73,71,75,7,0,70.2
21,5,61,69,62,86,8,0,70.4
25,2,63,76,42,74,6,0,66.5
20,8,78,58,77,53,7,0,69.2
19,7,90,56,75,27,6,0,65.6
23,4,51,89,81,60,5,1,70.6
23,6,82,91,51,81,8,1,76.9
19,1,92,55,82,62,7,0,59.5
24,3,76,85,100,82,7,1,78.4
19,4,85,69,73,71,9,0,70.7
24,3,70,75,71,90,5,0,63.4
18,6,77,77,77,63,6,1,71.6
24,9,59,85,100,76,7,1,88.2
24,3,50,71,56,77,6,0,67.2
24,3,89,91,75,94,8,0,83.4
23,5,66,75,59,39,6,1,50.4
21,8,73,79,63,60,5,1,76.7
23,3,61,58,71,82,7,0,62.6
20,5,61,99,94,94,7,0,86.6
24,9,76,77,100,72,8,0,86.3
22,2,69,81,79,63,7,1,67.5
21,2,83,46,66,81,7,1,63.9
22,4,83,58,100,83,7,1,77.1
22,4,82,89,65,62,6,0,76.5
18,7,81,74,63,74,5,1,75.1
19,5,97,41,44,88,7,1,73.2
19,1,65,86,94,100,6,0,79.6
18,6,77,62,87,81,9,1,83.0
21,4,92,91,100,69,8,0,74.2
23,8,93,69,50,67,7,0,79.3
23,4,61,73,95,77,7,1,72.9
21,4,74,88,73,66,6,0,74.5
24,6,94,57,85,71,5,1,70.5
22,7,84,55,46,50,6,1,58.7
18,6,80,67,95,90,7,0,90.3
24,2,75,82,85,49,7,0,61.7
